Id2,Geography,2010 pop,2011 pop,2012 pop,2013 pop,2014 pop,2015 pop,2016 pop,2017 pop,Latitude,Longitude
6001,"Alameda County, California",1513402,1532215,1556648,1582936,1611572,1637141,1653236,1663190,37.716662,–122.096151
6003,"Alpine County, California",1161,1093,1110,1127,1084,1088,1057,1120,38.632506,–119.888663
6005,"Amador County, California",37884,37539,37112,36635,36748,37047,37473,38626,38.428879,–120.715248
6007,"Butte County, California",219957,220003,220969,221768,223629,224818,226525,229294,39.648354,–121.646310
6009,"Calaveras County, California",45470,45163,44826,44667,44677,44954,45315,45670,38.167573,–120.557245
6011,"Colusa County, California",21453,21366,21350,21336,21268,21341,21645,21805,39.187495,–122.152389
6013,"Contra Costa County, California",1052799,1066182,1079093,1095310,1110971,1126027,1138645,1147439,37.942423,–122.060886
6015,"Del Norte County, California",28566,28447,28203,27830,27206,27253,27450,27470,41.735225,–124.113924
6017,"El Dorado County, California",181149,180975,180680,181618,183333,184865,186272,188987,38.768651,–120.571902
6019,"Fresno County, California",932218,940360,946851,953787,963170,972333,979534,989255,36.638374,–119.903470
6021,"Glenn County, California",28130,28160,27894,27866,27909,27841,27967,28094,39.630023,–122.291407
6023,"Humboldt County, California",135019,135239,134596,134444,134584,135219,136449,136754,40.747403,–123.988265
6025,"Imperial County, California",174778,176157,177241,177267,178868,179839,180980,182830,32.963098,–115.487593
6027,"Inyo County, California",18517,18401,18370,18377,18340,18197,18034,18026,36.709037,–117.693329
6029,"Kern County, California",841116,848767,855237,864014,871895,879607,885086,893119,35.296023,–118.683344
6031,"Kings County, California",152404,152030,151265,150675,149862,150482,149797,150101,36.155141,–119.811272
6033,"Lake County, California",64742,64273,64005,63855,64113,64310,63950,64246,39.023264,–122.751791
6035,"Lassen County, California",34831,34244,33632,32135,31716,31393,30944,31163,40.612365,–120.720234
6037,"Los Angeles County, California",9824490,9885998,9956152,10018604,10072695,10123248,10150558,10163507,34.08851,–118.234216
6039,"Madera County, California",151037,151876,151900,151819,154103,154423,154966,156890,37.035073,–120.032438
6041,"Marin County, California",252940,255505,256381,258856,261007,261718,261532,260955,37.985723,–122.575951
6043,"Mariposa County, California",18280,18174,17893,17820,17730,17649,17524,17569,37.595471,–120.003539
6045,"Mendocino County, California",87799,87367,87376,87164,87375,87318,87609,88018,39.363102,–123.430217
6047,"Merced County, California",256772,259607,261407,262712,265281,267406,268878,272673,37.245783,–120.674118
6049,"Modoc County, California",9699,9515,9359,9154,9083,9050,8941,8859,41.52736,–120.790625
6051,"Mono County, California",14204,14329,14248,13997,14072,13954,14101,14168,37.853807,–118.961375
6053,"Monterey County, California",416475,421162,426094,428382,430416,432774,436363,437907,36.450732,–121.528953
6055,"Napa County, California",136794,137905,138876,139978,140918,141507,141649,140973,38.353762,–122.332133
6057,"Nevada County, California",98791,98714,98173,97992,98614,98715,99053,99814,39.270775,–120.814268
6059,"Orange County, California",3017116,3053465,3085386,3113649,3136750,3160576,3177703,3190400,33.731518,–117.861663
6061,"Placer County, California",350034,356445,360569,365822,369727,373469,379742,386166,38.971576,–120.947618
6063,"Plumas County, California",19914,19716,19377,18899,18667,18525,18787,18742,40.020149,–120.851195
6065,"Riverside County, California",2202001,2235890,2264804,2291406,2321738,2352080,2386522,2423266,33.783307,–116.803605
6067,"Sacramento County, California",1421651,1434506,1446585,1459474,1477522,1496130,1513260,1530615,38.561106,–121.389266
6069,"San Benito County, California",55532,56034,56701,57370,57974,58364,59335,60310,36.745753,–121.288843
6071,"San Bernardino County, California",2041234,2062381,2076601,2086732,2104038,2120794,2137131,2157404,34.392344,–116.982433
6073,"San Diego County, California",3103793,3139767,3179798,3216522,3256875,3290044,3317200,3337685,32.904616,–117.062993
6075,"San Francisco County, California",805770,816294,830406,841270,853258,866320,876103,884363,37.759881,–122.437392
6077,"San Joaquin County, California",687291,695071,700958,703747,713452,723846,734294,745424,37.945959,–121.281307
6079,"San Luis Obispo County, California",269819,271150,274378,275973,278534,280402,282282,283405,35.373909,–120.587460
6081,"San Mateo County, California",719899,729022,740644,750345,759156,766779,769561,771410,37.531037,–122.331932
6083,"Santa Barbara County, California",424338,426058,430827,435980,440628,443927,446296,448150,34.649384,–120.071425
6085,"Santa Clara County, California",1786542,1813812,1841868,1870935,1896246,1919220,1931575,1938153,37.306509,–121.912818
6087,"Santa Cruz County, California",263216,265103,266794,269395,271529,274299,275196,275897,37.002349,–121.973761
6089,"Shasta County, California",177284,177595,177917,178445,178983,178472,178774,179921,40.688705,–122.121202
6091,"Sierra County, California",3221,3100,3068,3030,2979,2994,2964,2999,39.582063,–120.534038
6093,"Siskiyou County, California",44939,44614,44082,43543,43390,43351,43511,43853,41.614943,–122.502816
6095,"Solano County, California",414076,416652,420267,424384,429993,434751,440318,445458,38.235934,–122.051826
6097,"Sonoma County, California",484827,487822,490740,495007,499563,502096,503833,504217,38.440089,–122.768624
6099,"Stanislaus County, California",515242,518034,521349,524625,529544,535000,541353,547899,37.613805,–120.958800
6101,"Sutter County, California",94764,94560,94342,94702,94983,95524,96058,96648,39.076193,–121.658159
6103,"Tehama County, California",63563,63347,63241,62916,62820,63128,63444,63926,40.123054,–122.135340
6105,"Trinity County, California",13749,13677,13482,13422,13122,13092,12839,12709,40.667129,–123.070397
6107,"Tulare County, California",443060,447358,450779,453663,456452,458601,460835,464493,36.234647,–119.166093
6109,"Tuolumne County, California",55188,54832,54237,54018,53852,53589,53787,54248,37.981845,–120.232775
6111,"Ventura County, California",825298,830990,835143,840175,844749,848925,851096,854223,34.277048,–119.045326
6113,"Yolo County, California",201101,202082,204890,206650,208873,212428,215959,219116,38.634155,–121.775709
6115,"Yuba County, California",72351,72511,72832,73159,73642,74201,75185,77031,39.207758,–121.422281
